text,sexist
tecavüze uğrayan kadınlar saatte dışarda işi varmışdan iğrenç yaklaşım varsa budur çocuğun okul yolunda işi varmış sokaklar köpeklerin dışarı çıkmak haddine haketmiş zaman hay oraya çıkaranlara,1.0
küçük turistik sahil kasabasında doğup büyüdüm annem memur dedem kurtardı demiş kardeşlere otel vermiş anneme yok tabi kadın başına okuyanın cezalandırıldığını ilk zaman gördüm i̇lkokulda bakıyorum etrafıma,1.0
erkek adam ağlamaz cümlesi yerine ağla adam ol cümlesi lazım,1.0
saygısızlık yapan insanı muhattap almak adam yerine koymak kendinize saygısızlıktır saygısı insan herkesle muhattap olmaması gerektiğini bilmelidir,1.0
karı ağlama,1.0
sokakta görsen başı kapalı hanım hanımcık,1.0
erkeğin yeri karısının dizinin dibidir,1.0
cemal süreya ‘ nında dediği şık olmalı kadın dediğin gelişi gülüşü bakışı duruşu isyanı gidişi gibi… keyifli modda gün kahve içelim,1.0
kk elinin hamuru devlet işine karışma,1.0
ali koç ağabey galibiyete adam başı euro koymuş,1.0
kızacaksınız erkek çocuklarını hanım evladı yetiştirmekten yumruk yiyince ağlamak yerine gardını alırdı,1.0
erkek görevi ilk mesaji atmak,1.0
sürekli iyi insan olunmaz adamına davranmak gerekir bazılarına iyilikle yaranamazsın hak davranırsan iyisi ezgin kılıç,1.0
hayatın anasını satmak istersin düşük fiyata…i̇şte,1.0
hanımefendi öğretim görevlisi tespitleri iyi,1.0
hanım evladı bayan gelir altın günü gelir hamam gelir,1.0
polis memuru intihar boşanmak eşi barışmak i̇stanbula giden polis memuru emrah ergül kafasına sıktığı tek kurşunla hayatını kaybetti,0.0
adam kaçırmak suçtur baska ülkenin vatandaşını kaçırmak uluslararası suçtur orhan i̇nandı gündür yok,1.0
i̇yi niyetlerle söylenen deyim atasözü klişe cümleleri dilimizden atmalıyız kadınlar iyi meslek öğretmenlik hanım kıza yakışıyor yuvayı yapan dişi kuştur erkek adam ağlamaz kadınlar hamamına çevirmek karı kıvırtmak karı gülmek,1.0
i̇laç fiyatlarına zam geldi,0.0
kız gelmiş kadın takipçilerinde fazla küfür etme mesaj atmış napıyım hanım abla erkeğin yerde oje rengi sorayım beraber buluşup ağdaya gidelim,1.0
adamına düşmek deyiminin anlamı,1.0
erkek adam dedigin boyle,1.0
ağla geçer,0.0
birilerinin arka bahçesinde yetişen müptezel kadın halkın kesimini sosyal sınıf ırk din mezhep cinsiyet bölge farklılığına dayanarak alenen aşağılayan kişidir şirret kadına yapılsın adaletbakanlik,1.0
görüntüye kahretmemek elde kanım dondu kanım şehit askerimiz burak tortumlu yaralı iken ilkel şartlarda hastaneye taşındı geriye otoparka gelmeyen ambulans türk milletinin ahı kaldıyazıklar şehidimizin ruhu şad seyrigalata,0.0
kız sevdim gül yaktı kül,0.0
doktorasını bitirmiş hizmetine ihtiyaç duyulan bilim erleri kenarda bekletiliyoruz rektörün kibri kinimle keyfi yüzünden doktora yapmadık öyplilere kadrolarının iadesi çalışınız öypd kalksın,1.0
zarar gelmez erkek sözü erkek sözü verdiğin inanmadım,1.0
eski devlet bakanı onayalpago gazeteci yazar dr sedef kabas danışman öğretmen selvator doğru parti eş genel başkanı dr arda atesdogru gündem siyasette kadının eli kadının yeri,1.0
fred itiraz ceza erteleme başvurusu yapıyoruz,0.0
görmemişin oğlu olmuş çekmiş çükünü kopartmış yerli malı haftasında yerli yetiştirilen ürünler getirilir paylaşılarak yenirdi öncelikle ülkede yerli malı bırakmadınız montajı togg yerli dediniz utanmadan yerli malı haftasına alet ettiniz,1.0
duayen isim orhan boranın lösemili çocuklarımız katkıda bulunma dileği bugün saygıdeğer eşi güler hanım bkm güldür güldür ekibinin kıymetli destekleriyle gerçek çocuklarımıza umut olduğunuz teşekkürler,0.0
adam kayırma yapılmadı,1.0
kadın davranış biçimi çözümlemesi yeni çıktı,0.0
sete giden kızlar işlerine aşıklar mutluluğu gördük dedi afra merti kıyaslayarak yaptığınız algı iğrenç ikisinin emeklerini görmezden gelemezsiniz hatırlatırım olmasaydı olmazdı cümlesi anlatıyor kısaca ikisi dizinin bel kemiği okey,0.0
osmanlı çöker… dönemin düşünürü koçi bey padişah iv muratın isteğiyle yılında osmanlı devletinin kötüye gidiş nedenlerini içeren gerçekçi rapor hazırlar tarihe koçi bey risalesi geçen raporda eleştiri konuları adam kayırma rüşvet liyakat…,1.0
kadın kısmı kötü gerçekten,1.0
üzüyor uzadıkça bitmiyor bitse sevimsiz akşamlar,0.0
safranbolu i̇skandinavyalı eskipazar çantacılık zalimsin adamakıllı falya ovacık,1.0
nesil kızını dövmeyen dizini döver,1.0
maç bittiği bağırıp çağıracaktınız kaos çıkaracaktınız suyun karşı tarafı istediğini alıyor hanım evladı takılın ezikçe susun i̇şte kafana vurup ekmeğini alırlar kulübün haklarını savunamıyorsun ali koç konforlu köşkünde yaşamaya benzemez,1.0
bunlardaki hava ci̇hangi̇r yok,0.0
hanımefendi bence muhafazakarları dışarıdan görmeyi başaramamışsınız gözlüklerin numarası hayli büyük demek bunca yıldır türlü tarikatı cemaati muhafazakarı tanıdım kırbaçlatan muhafazakar görmedim bence dümdüz i̇slam düşmanısınız,0.0
i̇çim yanıyor tabur şehit milli yas arşivimden çıkmayan resim unutursam kanım kurusun,0.0
sorunlar yeter kansız olmayın,0.0
ak parti grup başkanvekili özlem zengin chp konuşan ilk hatipler kadındı enteresan anlıyorum kadın meselesini chp sadece kadınlara bırakmış,0.0
kurulu düzendir i̇ncineceksin,0.0
küçük çocuğun babaannesi teyzesi yılbaşı ağacı tartışması sosyal medyanın gündemine oturdu müslümanlığa uygun mezarlıklarda yerde çam ağacı babaanne farklı teyze müslüman sensin,0.0
kız almak gelin gitmek kız istemek kız vermek laflar bi sıkıntılı geliyor,1.0
hanım kıza yakışıyor üniversite öğrencilerinden dildeki cinsiyet ay onediocom aracılığıyla,1.0
malmısın eşşeğim wpden konuştuk ilk öğretiyor başlayayım dedim ippo hanım evladı sevmezsin dediler izlemedik,1.0
işin aşkla sevgiyle hayatın boyunca kere adam sevilmemişsin,1.0
türkiye cumhuriyeti gelmiş geçmiş çapsız bakanıdır diyenle kılıçdaroğlu adam saymak dursun müsveddesi yerine koymuyorum diyenler birbirlerini ziyaret edip yapmışlar hadi ordan kifayetsiz muhterisler,1.0
marketi tarama yapayrım güzel coinleri bulup paylaşiyorum adam başi tl ödeme yapmaniz lazım,1.0
serdar tuncerin menzil cemaatine para topladığı görüntüler tartışma konusu,0.0
dedikoduda adamına düşmek önemli bi başladık allah ıslah etsin dur durak yok,1.0
