text,sexist
tecavüze uğrayan kadınlar saatte dışarda işi varmışdan iğrenç bir yaklaşım varsa budur çocuğun okul yolunda işi varmış değil mi sokaklar zaten köpeklerin bile bile dışarı çıkmak haddine ee haketmiş zaman hay seni oraya çıkaranlara,1.0
küçük turistik bir sahil kasabasında doğup büyüdüm annem memur olduğu dedem kendini kurtardı zaten demiş diğer kardeşlere otel vermiş anneme yok tabi kadın başına gerek var okuyanın cezalandırıldığını ilk zaman gördüm i̇lkokulda bakıyorum etrafıma herkesin,1.0
erkek adam ağlamaz cümlesi yerine ağla adam ol cümlesi lazım,1.0
size saygısızlık yapan insanı muhattap almak adam yerine koymak kendinize saygısızlıktır kendisine saygısı olan insan herkesle muhattap olmaması gerektiğini bilmelidir,1.0
karı ağlama artık,1.0
sokakta görsen başı kapalı hanım hanımcık,1.0
erkeğin yeri karısının dizinin dibidir,1.0
cemal süreya ‘ nında dediği şık olmalı kadın dediğin gelişi gülüşü bakışı duruşu isyanı hatta gidişi gibi… keyifli bir modda olsun gün kahve içelim,1.0
kk elinin hamuru devlet işine karışma,1.0
ali koç ağabey galibiyete adam başı milyon euro koymuş,1.0
bana kızacaksınız erkek çocuklarını hanım evladı yetiştirmekten oluyor bunlar yumruk yiyince ağlamak yerine gardını alırdı,1.0
erkek görevi olarak ilk mesaji atmak,1.0
sürekli iyi insan olunmaz adamına göre davranmak gerekir bazen bazılarına iyilikle yaranamazsın hak ettiği davranırsan senden iyisi olmaz ezgin kılıç,1.0
hani bazen hayatın anasını satmak istersin düşük fiyata…i̇şte öyle bir,1.0
hanımefendi bir öğretim görevlisi tespitleri iyi,1.0
hanım evladı bir bayan gelir altın günü gelir hamam gelir,1.0
polis memuru intihar etti boşanmak üzere olduğu eşi barışmak i̇stanbula giden polis memuru emrah ergül kafasına sıktığı tek kurşunla hayatını kaybetti,0.0
adam kaçırmak suçtur baska bir ülkenin vatandaşını kaçırmak uluslararası bir suçtur orhan i̇nandı gündür yok,1.0
i̇yi niyetlerle söylenen deyim atasözü klişe cümleleri dilimizden atmalıyız kadınlar iyi meslek öğretmenlik senin hanım bir kıza yakışıyor yuvayı yapan dişi kuştur erkek adam ağlamaz kadınlar hamamına çevirmek karı kıvırtmak karı gülmek,1.0
i̇laç fiyatlarına zam geldi,0.0
kız gelmiş kadın takipçilerinde var fazla küfür etme mesaj atmış napıyım hanım abla kadar erkeğin olduğu yerde oje rengi mi sorayım beraber buluşup ağdaya gidelim,1.0
adamına düşmek deyiminin anlamı,1.0
erkek adam dedigin boyle olsa gerek,1.0
biraz ağla geçer,0.0
birilerinin arka bahçesinde yetişen müptezel kadın halkın bir kesimini sosyal sınıf ırk din mezhep cinsiyet bölge farklılığına dayanarak alenen aşağılayan kişidir şirret kadına gereği yapılsın adaletbakanlik,1.0
görüntüye kahretmemek elde değil kanım dondu kanım şehit olan askerimiz burak tortumlu yaralı iken ilkel şartlarda hastaneye taşındı geriye otoparka gelmeyen ambulans türk milletinin ahı kaldıyazıklar olsun şehidimizin ruhu şad olsun seyrigalata,0.0
bir kız sevdim gül yaktı beni kül,0.0
doktorasını bitirmiş hizmetine ihtiyaç duyulan bilim erleri olarak kenarda bekletiliyoruz bir rektörün kibri kinimle keyfi yüzünden doktora yapmadık öyplilere kadrolarının iadesi çalışınız öypd kalksın,1.0
benden zarar gelmez sana erkek sözü erkek sözü verdiğin inanmadım sana,1.0
eski devlet bakanı onayalpago gazeteci yazar dr sedef kabas danışman öğretmen selvator doğru parti eş genel başkanı dr arda atesdogru gündem siyasette kadının eli kadının yeri,1.0
fred itiraz ceza erteleme başvurusu yapıyoruz,0.0
görmemişin oğlu olmuş çekmiş çükünü kopartmış yerli malı haftasında yerli yetiştirilen ürünler getirilir paylaşılarak yenirdi öncelikle ülkede yerli malı bırakmadınız sonra montajı yapılan togg yerli dediniz sonra utanmadan yerli malı haftasına alet ettiniz,1.0
duayen isim orhan boranın lösemili çocuklarımız katkıda bulunma dileği bugün saygıdeğer eşi güler hanım bkm güldür güldür ekibinin kıymetli destekleriyle gerçek oldu çocuklarımıza umut olduğunuz teşekkürler,0.0
adam kayırma yapılmadı,1.0
kadın davranış biçimi çözümlemesi yeni çıktı,0.0
sete giden kızlar bile işlerine kadar aşıklar mutluluğu gördük dedi şimdi afra merti kıyaslayarak yaptığınız algı iğrenç ikisinin emeklerini görmezden gelemezsiniz hatırlatırım olmasaydı olmazdı cümlesi bile şeyi anlatıyor kısaca ikisi dizinin bel kemiği okey,0.0
